history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
SNDX;MOEX10;2020-12-04;Индекс МосБиржи 10;Индекс МосБиржи 10;5276,97;5252,58;5307,06;5242,22;64545688723,45;0;0;2;11389033439624,76;RUB;5009,220000
SNDX;MOEX10;2020-12-03;Индекс МосБиржи 10;Индекс МосБиржи 10;5226,58;5270,71;5289,89;5188,38;56112831668,9;0;0;2;11273651454761,326;RUB;5009,220000
SNDX;MOEX10;2020-12-02;Индекс МосБиржи 10;Индекс МосБиржи 10;5270,66;5202,5;5270,66;5185,02;63561429675,15;0;0;2;11370331246766,23;RUB;5009,220000
SNDX;MOEX10;2020-12-01;Индекс МосБиржи 10;Индекс МосБиржи 10;5197,67;5168,43;5223,07;5158,01;74679832365,05;0;0;2;11185362044498,863;RUB;5009,220000
SNDX;MOEX10;2020-11-30;Индекс МосБиржи 10;Индекс МосБиржи 10;5161,77;5190,35;5200,82;5129,72;97477779842,65;0;0;2;11043638717511,482;RUB;5009,220000
SNDX;MOEX10;2020-11-27;Индекс МосБиржи 10;Индекс МосБиржи 10;5219,74;5218,71;5227,79;5169,95;55680039483,2;0;0;2;11146873963695,201;RUB;5009,220000
SNDX;MOEX10;2020-11-26;Индекс МосБиржи 10;Индекс МосБиржи 10;5228,4;5244,66;5272,06;5197,32;56809119928,15;0;0;2;11149700781184,914;RUB;5009,220000
SNDX;MOEX10;2020-11-25;Индекс МосБиржи 10;Индекс МосБиржи 10;5230,36;5209,33;5257,08;5160,83;82589590399,5;0;0;2;11174689187262,742;RUB;5009,220000
SNDX;MOEX10;2020-11-24;Индекс МосБиржи 10;Индекс МосБиржи 10;5172,1;5117,92;5179,79;5091,91;69431675464,95;0;0;2;10988516753407,992;RUB;5009,220000
SNDX;MOEX10;2020-11-23;Индекс МосБиржи 10;Индекс МосБиржи 10;5074,35;5104,88;5144,38;5064,13;56809926231;0;0;2;10726257229017,422;RUB;5009,220000
SNDX;MOEX10;2020-11-20;Индекс МосБиржи 10;Индекс МосБиржи 10;5073,69;5048,24;5083,17;5027,59;34201080759,95;0;0;2;10711773233462,748;RUB;5009,220000
SNDX;MOEX10;2020-11-19;Индекс МосБиржи 10;Индекс МосБиржи 10;5035,14;5072,01;5077,42;5016,84;53064621387,75;0;0;2;10677576616232,645;RUB;5009,220000
SNDX;MOEX10;2020-11-18;Индекс МосБиржи 10;Индекс МосБиржи 10;5101,14;5026,66;5113,63;5001,13;53933866645,9;0;0;2;10810293922363,775;RUB;5009,220000
SNDX;MOEX10;2020-11-17;Индекс МосБиржи 10;Индекс МосБиржи 10;5037,8;5090,75;5100,96;4980,55;66833255837,1;0;0;2;10715191198787,51;RUB;5009,220000
SNDX;MOEX10;2020-11-16;Индекс МосБиржи 10;Индекс МосБиржи 10;5085,87;5059,74;5096,09;5036,36;74951392005,25;0;0;2;10815764750511,81;RUB;5009,220000
SNDX;MOEX10;2020-11-13;Индекс МосБиржи 10;Индекс МосБиржи 10;5000,57;4947,78;5002,86;4923,16;64488240433,3;0;0;2;10602904483658,475;RUB;5009,220000
SNDX;MOEX10;2020-11-12;Индекс МосБиржи 10;Индекс МосБиржи 10;5001,63;4931,08;5003,68;4912,01;77329955379,8;0;0;2;10628603087542,488;RUB;5009,220000
SNDX;MOEX10;2020-11-11;Индекс МосБиржи 10;Индекс МосБиржи 10;4982,74;4953,91;5016,84;4953,91;113416175578,15;0;0;2;10601683440782,662;RUB;5009,220000
SNDX;MOEX10;2020-11-10;Индекс МосБиржи 10;Индекс МосБиржи 10;4948,49;4873,67;4973,39;4825,69;110719278079,15;0;0;2;10528239536826,146;RUB;5009,220000
SNDX;MOEX10;2020-11-09;Индекс МосБиржи 10;Индекс МосБиржи 10;4906,77;4779,11;4910,65;4761,01;131376971184,05;0;0;2;10447169736773,146;RUB;5009,220000
SNDX;MOEX10;2020-11-06;Индекс МосБиржи 10;Индекс МосБиржи 10;4736,69;4667,12;4737,83;4634,44;53846532068,7;0;0;2;10020483955968,113;RUB;5009,220000
SNDX;MOEX10;2020-11-05;Индекс МосБиржи 10;Индекс МосБиржи 10;4690,07;4625,87;4704,47;4591,16;71190854885,9;0;0;2;9919050185290,107;RUB;5009,220000
SNDX;MOEX10;2020-11-03;Индекс МосБиржи 10;Индекс МосБиржи 10;4554,7;4484,96;4563,52;4472,74;53342454854,6;0;0;2;9621616008538,533;RUB;5009,220000
SNDX;MOEX10;2020-11-02;Индекс МосБиржи 10;Индекс МосБиржи 10;4450,98;4372,27;4461,55;4333,1;47386320764,55;0;0;2;9415964622476,555;RUB;5009,220000
SNDX;MOEX10;2020-10-30;Индекс МосБиржи 10;Индекс МосБиржи 10;4386,5;4374,8;4416,97;4327,73;42885347049,35;0;0;2;9261336252831,818;RUB;5009,220000
SNDX;MOEX10;2020-10-29;Индекс МосБиржи 10;Индекс МосБиржи 10;4396,04;4389,39;4432,92;4348;48480239812,3;0;0;2;9329291355608,39;RUB;5009,220000
SNDX;MOEX10;2020-10-28;Индекс МосБиржи 10;Индекс МосБиржи 10;4369,48;4504,35;4504,35;4345,96;58090526009,7;0;0;2;9266483952398,875;RUB;5009,220000
SNDX;MOEX10;2020-10-27;Индекс МосБиржи 10;Индекс МосБиржи 10;4515,26;4552,71;4571,21;4504,83;40244116815,9;0;0;2;9502339257712,564;RUB;5009,220000
SNDX;MOEX10;2020-10-26;Индекс МосБиржи 10;Индекс МосБиржи 10;4551,9;4612,35;4623,56;4551,9;34994363142,85;0;0;2;9606983944529,637;RUB;5009,220000
